Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
stacy-hou,stacy-hou,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,284,0,0.006205
6613910,6613910,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,283,0,0.006205
40296024,40296024,,1,0,1,1,0,1,0,0,0,0,0.000053,0,49,0.000884,0,388,0,0.006205
44396522,44396522,,1,0,1,1,0,1,0,0,0,0,0.007209,0,49,0.000668,0,195,0,0.042986
142177645,142177645,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,282,0,0.006205
48849875,48849875,,1,0,1,1,0,1,0,0,0,0,0.00289,0,52,0.000668,0,8,0,0.002219
jaimeerica,jaimeerica,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,281,0,0.006205
lily_3,lily_3,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,280,0,0.006205
121579323,121579323,,4,4,8,4,4,8,4,0.5,0.641667,6.666667,0,0,0,0.00442,1,156,0.666667,0.751249
144691759,144691759,,3,3,6,3,3,6,5,0.4,0.553333,0,0,0,0,0.003362,1,156,1,0.61364
122736540,122736540,,1,0,1,1,0,1,0,0,0,0,0.007209,0,49,0.000668,0,194,0,0.042986
51419685,51419685,,1,0,1,1,0,1,0,0,0,0,0.007209,0,49,0.000668,0,193,0,0.042986
ou9cfan,ou9cfan,,0,1,1,0,1,1,9,0.209474,0.230601,0,0,0,35,0.000646,0,649,0,0
nevernice,nevernice,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,274,0,0.006205
ricker,ricker,,0,1,1,0,1,1,2,0.666667,0.75,0,0,0,56,0.000646,42,650,0,0
vashfish,vashfish,,0,1,1,0,1,1,1,1,1,0,0,0,61,0.000646,47,652,0,0
yeejame,yeejame,,1,0,1,1,0,1,0,0,0,0,0,0,61,0.001196,47,651,0,0.002219
45725150,45725150,,1,0,1,1,0,1,0,0,0,0,0.003483,0,41,0.000658,0,77,0,0.01763
he-xi,he-xi,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,273,0,0.006205
nshen121,nshen121,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,272,0,0.006205
72145072,72145072,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,271,0,0.006205
58825123,58825123,,2,0,2,2,0,2,0,0,0,0,0.000588,0,53,0.001208,0,475,0,0.006772
cybrg,cybrg,,0,2,2,0,2,2,1,1,1,0,0,0.007123,53,0.000646,0,653,0,0
71865681,71865681,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,270,0,0.006205
4074535,4074535,,0,1,1,0,1,1,1,1,1,0,0,0,62,0.000646,48,655,0,0
65085648,65085648,,1,0,1,1,0,1,0,0,0,0,0,0,62,0.001196,48,654,0,0.002219
Amanda-Z,Amanda-Z,,2,0,2,2,0,2,0,0,0,0,0.085742,0,50,0.000664,0,269,0,0.008425
35908220,35908220,,4,0,4,4,0,4,0,0,0,0,0.006496,0,41,0.001242,0,7,0.083333,0.03742
50413289,50413289,,3,0,3,3,0,3,0,0,0,0,0.086847,0,7,0.000775,0,29,0.333333,0.033555
2122074,2122074,,1,0,1,1,0,1,0,0,0,0,0,0,53,0.000933,0,470,0,0.004552
15035026,15035026,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,268,0,0.006205
42487679,42487679,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,267,0,0.006205
qqforeverqueen,qqforeverqueen,,1,0,1,1,0,1,0,0,0,0,0.007209,0,49,0.000668,0,192,0,0.042986
SantripM,SantripM,,1,0,1,1,0,1,0,0,0,0,0.003483,0,41,0.000658,0,76,0,0.01763
68588893,68588893,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,266,0,0.006205
127692949,127692949,,1,1,2,1,1,2,1,1,1,0,0,0,63,0.004308,49,656,0,0.006205
1250672,1250672,,1,1,2,1,1,2,1,1,1,0,0,0,63,0.004308,49,656,0,0.006205
berryboo,berryboo,,1,0,1,1,0,1,0,0,0,0,0.002186,0,15,0.000702,0,28,0,0.021144
naryao,naryao,,1,0,1,1,0,1,0,0,0,0,0.001875,0,35,0.000725,0,568,0,0.004552
61861380,61861380,,1,0,1,1,0,1,0,0,0,0,0.000233,0,49,0.000765,0,393,0,0.010691
RATATKAIQI,RATATKAIQI,,1,0,1,1,0,1,0,0,0,0,0,0,43,0.00083,34,599,0,0.002219
